"","ID","date","postcode","property_type","whether_old_or_new","freehold_or_leasehold","address1","address2","address3","town","local_aut","county","postcode_short","current_energy_rating","total_floor_area","number_habitable_rooms","co2_emissions_current","co2_emissions_potential","energy_consumption_current","energy_consumption_potential","windows_energy_eff","tenure","latitude","longitude","population","altitude","london_zone","nearest_station","water_company","average_income","district","type_of_closest_station","num_tube_lines","num_rail_lines","num_light_rail_lines","distance_to_station","asking_price","predicted_price","difference","buy"
"11",7228,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"SW19","C",300,9,7.1,6.1,135,113,"Average","owner-occupied",51.425384,-0.219312,41,58,3,"wimbledon","Thames Water",67000,"Merton","tube",1,1,1,0.7040462,3598000,2226332.77707682,1371667.22292318,1
"12",7552,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"E11","F",169,7,13,6,421,199,"Average","owner-occupied",51.579786,0.029843,54,22,4,"wanstead","Thames Water",55000,"Redbridge","tube",1,0,0,0.3579264,2251000,900046.266838951,1350953.73316105,1
"13",4305,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"W2","E",261,9,11,6.7,246,144,"Very Poor","owner-occupied",51.519156,-0.190837,63,29,2,"royal oak","Thames Water",56500,"Westminster","tube",2,0,0,0.1454076,4368000,3056209.18654297,1311790.81345703,1
"14",1600,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W1J","C",104,4,1.9,1.9,103,103,"Average","owner-occupied",51.508332,-0.14668,12,27,1,"green park","Thames Water",59000,"Westminster","tube",3,0,0,0.3125642,2744000,1485320.16723834,1258679.83276166,1
"15",4900,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SW12","E",205.51,8,16,13,394,306,"Very Poor","owner-occupied",51.451255,-0.161553,85,21,3,"wandsworth common","Thames Water",77300,"Wandsworth","rail",0,1,0,0.347984,2647000,1573108.38826124,1073891.61173876,1
"16",2868,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"NW8","F",291,8,22,8.7,422,170,"Poor","owner-occupied",51.539463,-0.171339,11,50,2,"st. johns wood","Thames Water",60900,"Westminster","tube",1,0,0,0.438087,5008000,3986824.46633069,1021175.53366931,1
"17",10824,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"KT2","E",325,12,18,9.7,307,168,"Very Poor","owner-occupied",51.421397,-0.284731,58,28,5,"norbiton","Thames Water",59400,"Kingston upon Thames","rail",0,1,0,0.7935278,2571000,1768471.82799148,802528.172008521,1
"18",248,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"W14","C",247,5,6.3,5.5,144,127,"Average","owner-occupied",51.497667,-0.216996,78,9,2,"kensington (olympia)","Thames Water",58100,"Kensington and Chelsea","tube",1,1,1,0.3305848,3754000,2958252.07295737,795747.927042634,1
"19",14437,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"NW7","E",326,9,8.3,6.5,117,88,"Good","owner-occupied",51.632832,-0.242695,53,141,4,"mill hill broadway","Affinity Water",58000,"Barnet","rail",0,1,0,1.699529,2288000,1508215.72271275,779784.277287254,1
"20",7982,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"W8","E",187,8,9.5,4.1,264,112,"Very Poor","owner-occupied",51.504874,-0.194338,77,30,1,"high street kensington","Thames Water",70900,"Kensington and Chelsea","tube",2,0,0,0.360412,4940000,4169908.64419834,770091.355801663,1
"21",12993,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW11","E",134,5,8.1,3.7,295,134,"Very Poor","owner-occupied",51.476145,-0.157442,32,9,2,"battersea park","Thames Water",63200,"Wandsworth","rail",0,1,0,0.4542434,1923000,1153707.62939357,769292.370606435,1
"22",12731,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"DA14","D",205,8,9,4.2,249,115,"Good","owner-occupied",51.425362,0.115844,28,51,5,"sidcup","Thames Water",50500,"Bexley","rail",0,1,0,1.0371166,1619000,871123.720744313,747876.279255687,1
"23",13570,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W1H","D",101,4,5,2.3,255,117,"Very Poor","rental (private)",51.518809,-0.161659,19,34,1,"marble arch","Thames Water",60700,"Westminster","tube",1,0,0,0.3113214,2263000,1526017.55897814,736982.441021862,1
"24",9271,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SW6","E",147.51,7,10,7.9,384,300,"Average","rental (private)",51.475599,-0.209879,118,7,2,"parsons green","Thames Water",69400,"Hammersmith and Fulham","tube",1,0,0,0.6263712,2390000,1697884.30863629,692115.691363708,1
"25",9612,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"SW13","F",217,9,17,8.1,456,211,"Average","rental (private)",51.481182,-0.243677,28,6,3,"barnes bridge","Thames Water",65600,"Richmond upon Thames","rail",0,1,0,0.848211,2675000,1998033.57429889,676966.425701106,1
"26",9394,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W11","C",122,3,3,1.6,139,73,"Average","owner-occupied",51.511714,-0.207585,10,27,2,"holland park","Thames Water",61700,"Kensington and Chelsea","tube",1,0,0,0.307593,2706000,2032875.93368115,673124.066318848,1
"27",1592,NA,NA,"S","N","F",NA,NA,NA,"BARNES",NA,NA,"SW13","D",178,9,6,3.1,190,98,"Average","owner-occupied",51.474609,-0.242504,34,8,3,"barnes bridge","Thames Water",65600,"Richmond upon Thames","rail",0,1,0,0.5337826,2208000,1565689.21629095,642310.783709046,1
"28",10705,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"BR7","D",389,11,16,8,217,106,"Very Poor","owner-occupied",51.409674,0.077862,92,104,5,"chislehurst","Thames Water",52400,"Bromley","rail",0,1,0,1.0669438,1485000,870037.663599813,614962.336400187,1
"29",15930,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"HA5","E",207,8,12,5.6,317,151,"Very Poor","owner-occupied",51.608503,-0.400564,36,101,6,"northwood hills","Affinity Water",56900,"Harrow","tube",1,0,0,0.6717334,1738000,1146591.29087399,591408.709126012,1
"30",6826,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"BR7","C",324.34,9,6.6,6.3,118,112,"Good","owner-occupied",51.396857,0.092131,55,80,6,"st mary cray","Thames Water",52400,"Bromley","rail",0,1,0,0.7761286,1202000,647565.9019565,554434.0980435,1
"31",1456,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"SE23","C",168,7,3.1,1.9,106,63,"Good","owner-occupied",51.432907,-0.043083,164,42,3,"sydenham","Thames Water",53000,"Lewisham","light_rail",0,1,1,0.879281,1285000,732509.926101643,552490.073898357,1
"32",4747,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"N1","E",137.61,5,9.8,8.4,392,332,"Very Poor","owner-occupied",51.543111,-0.097111,34,31,2,"essex road","Thames Water",53300,"Islington","rail",0,1,0,0.1416792,1775000,1247703.34721927,527296.652780734,1
"33",6877,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"CR8","E",345,10,18,6.6,299,107,"Average","owner-occupied",51.345404,-0.132077,28,103,6,"purley","SES Water",67500,"Croydon","rail",0,1,0,1.0396022,1584000,1068244.00898183,515755.991018167,1
"34",10701,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"NW3","D",216,7,8.3,4.6,219,121,"Very Poor","owner-occupied",51.550547,-0.165356,81,72,2,"belsize park","Thames Water",65400,"Camden","tube",1,0,0,0.0677326,2850000,2343758.46997189,506241.530028108,1
"35",6288,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW3","D",258,6,8.8,4.5,194,99,"Very Poor","owner-occupied",51.549158,-0.165095,30,69,2,"belsize park","Thames Water",55700,"Camden","tube",1,0,0,0.1603212,3121000,2622486.8401614,498513.159838599,1
"36",7675,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"E11","D",114,6,5.2,1.8,258,90,"Average","owner-occupied",51.58167,0.033737,95,16,4,"wanstead","Thames Water",67700,"Redbridge","tube",1,0,0,0.5897086,1172000,680800.337705386,491199.662294614,1
"37",9646,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"W6","D",294,5,11,6.3,212,122,"Average","owner-occupied",51.498799,-0.242539,60,9,2,"stamford brook","Thames Water",54400,"Hammersmith and Fulham","tube",1,0,0,0.4051528,3720000,3243977.82521145,476022.174788554,1
"38",7368,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W1T","B",90.75,3,1.6,1.6,110,104,"Good","owner-occupied",51.518191,-0.135668,17,38,1,"tottenham court road","Thames Water",54000,"Camden","tube",2,0,0,0.2417246,1323000,847582.48003694,475417.51996306,1
"39",14438,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SE24","D",128.8,5,8.2,8,233,225,"Average","owner-occupied",51.446914,-0.108582,75,42,3,"tulse hill","Thames Water",55900,"Lambeth","rail",0,1,0,0.6474988,1253000,781802.392842194,471197.607157806,1
"40",11022,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"N6","F",168.29,8,16,12,422,312,"Poor","owner-occupied",51.572963,-0.150355,54,130,3,"highgate","Thames Water",63600,"Camden","tube",1,0,0,0.4617002,2324000,1855930.28419276,468069.715807242,1
"41",1306,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"BR1","E",177,8,8.6,3.4,327,133,"Average","owner-occupied",51.401928,0.04949,11,76,5,"bickley","Thames Water",72000,"Bromley","rail",0,1,0,0.273416,1325000,861577.733755204,463422.266244796,1
"42",2876,NA,NA,"F","N","L",NA,NA,NA,"HIGHGATE",NA,NA,"N6","C",103,4,3.3,3.2,182,176,"Good","owner-occupied",51.577806,-0.14668,88,110,3,"highgate","Thames Water",71300,"Camden","tube",1,0,0,0.1112306,1279000,830217.209145834,448782.790854166,1
"43",13808,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"E17","D",79,4,4.3,1.2,308,83,"Average","owner-occupied",51.598029,-0.016804,123,18,4,"wood street","Thames Water",54500,"Waltham Forest","light_rail",0,0,1,1.2372074,872000,428440.199109664,443559.800890336,1
"44",6457,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"EN4","E",243,9,13,8.8,297,204,"Average","owner-occupied",51.667163,-0.175171,74,106,6,"hadley wood","Affinity Water",52800,"Barnet","rail",0,1,0,0.4057742,2e+06,1566730.6741363,433269.325863698,1
"45",10468,NA,NA,"S","N","F",NA,NA,NA,"BLACKHEATH",NA,NA,"SE3","D",187,6,6.4,3.8,196,114,"Average","owner-occupied",51.469803,0.022207,42,39,3,"kidbrooke","Thames Water",67800,"Greenwich","rail",0,1,0,0.6686264,1568000,1136681.22607636,431318.773923639,1
"46",15189,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"SE22","F",238,9,15,6.1,346,144,"Very Poor","owner-occupied",51.452405,-0.057192,196,49,3,"honor oak park","Thames Water",54200,"Southwark","light_rail",0,0,1,0.7823426,1867000,1441303.738219,425696.261781002,1
"47",11217,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"TW10","D",105,5,5,2.3,262,115,"Average","owner-occupied",51.442066,-0.304216,10,9,4,"st margarets","Thames Water",66600,"Richmond upon Thames","rail",0,1,0,1.6448458,1253000,827798.174174704,425201.825825296,1
"48",957,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"E17","D",86,6,3.2,1,196,59,"Average","owner-occupied",51.582577,-0.008673,137,33,4,"wood street","Thames Water",53700,"Waltham Forest","light_rail",0,0,1,0.5816304,851000,438244.275545628,412755.724454372,1
"49",589,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"CR0","F",266,11,17,10,359,216,"Poor","owner-occupied",51.372611,-0.07623,26,86,3,"sandilands","Thames Water",58200,"Croydon","light_rail",0,0,1,0.462943,1351000,939037.071194055,411962.928805945,1
"50",8594,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW17","D",80,3,3.6,1.6,281,124,"Poor","owner-occupied",51.435816,-0.150764,128,30,3,"tooting bec","Thames Water",61600,"Wandsworth","tube",1,0,0,0.5275686,969000,561534.789670247,407465.210329753,1
"51",6434,NA,NA,"F","N","L",NA,NA,NA,"MARYLEBONE",NA,NA,"NW1","C",100.97,4,3.4,2.7,203,161,"Very Poor","owner-occupied",51.52428,-0.161367,70,35,1,"marylebone","Thames Water",60700,"Camden","tube",2,1,0,0.170885,1637000,1232070.74727806,404929.252721938,1
"52",9812,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"W7","D",105,6,4.9,1.9,265,98,"Average","owner-occupied",51.510906,-0.339677,88,25,4,"hanwell","Thames Water",54100,"Ealing","rail",0,1,0,0.2746588,972000,570565.270918043,401434.729081957,1
"53",14414,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"E9","D",110,6,4.4,1.9,206,87,"Average","rental (private)",51.544132,-0.054092,118,19,2,"london fields","Thames Water",43000,"Hackney","light_rail",0,0,1,0.3709758,1193000,793363.14813998,399636.85186002,1
"54",182,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"KT2","F",86,4,7.8,2.1,510,137,"Average","owner-occupied",51.417401,-0.293782,156,11,6,"kingston","Thames Water",68000,"Kingston upon Thames","rail",0,1,0,0.5014698,1061000,661620.17699931,399379.82300069,1
"55",15295,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"BR1","C",177,8,4.3,2.8,139,88,"Good","owner-occupied",51.407592,0.03512,29,70,5,"bickley","Thames Water",62900,"Bromley","rail",0,1,0,0.7574866,1202000,815224.347670387,386775.652329613,1
"56",10020,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"RM2","E",125,7,7.2,3.1,329,140,"Average","owner-occupied",51.591785,0.194251,82,35,6,"gidea park","Essex & Suffolk Water",52600,"Havering","rail",0,1,0,1.0141248,913000,529801.970498721,383198.029501279,1
"57",2765,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"N6","E",276,9,19,8.6,336,142,"Very Poor","owner-occupied",51.576915,-0.146053,125,112,3,"highgate","Thames Water",71300,"Camden","tube",1,0,0,0.1994694,2940000,2559344.91151278,380655.088487217,1
"58",2061,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SW19","D",118,6,6,5.8,220,211,"Very Poor","owner-occupied",51.417176,-0.201146,91,19,3,"merton park","Thames Water",75100,"Merton","light_rail",0,0,1,0.267202,1279000,908806.875003318,370193.124996682,1
"59",14521,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"N16","C",145,8,4.4,2.3,174,87,"Good","owner-occupied",51.557523,-0.079834,60,26,2,"rectory road","Thames Water",57000,"Hackney","light_rail",0,0,1,0.618293,1537000,1170387.82364141,366612.176358589,1
"60",13335,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"TW8","C",107.6,3,2.5,2.2,120,105,"Average","rental (private)",51.484228,-0.300896,57,6,4,"brentford","Thames Water",50200,"Hounslow","rail",0,1,0,0.6673836,838000,475079.961360998,362920.038639002,1
"61",4967,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"NW6","C",163,7,4.7,2.8,162,97,"Good","owner-occupied",51.543684,-0.177977,66,46,2,"south hampstead","Thames Water",60900,"Brent","light_rail",0,0,1,0.1621854,1932000,1571036.88507954,360963.114920456,1
"62",13773,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"N8","D",211,9,9.5,6.3,254,167,"Very Poor","owner-occupied",51.580987,-0.119979,59,47,3,"hornsey","Thames Water",65500,"Haringey","rail",0,1,0,0.7320092,1965000,1612613.47517733,352386.524822665,1
"63",11832,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SW19","C",79.76,6,3.8,3.8,177,177,"Poor","rental (private)",51.438506,-0.196428,103,13,3,"wimbledon park","Thames Water",75000,"Merton","tube",1,0,0,0.3305848,1121000,769050.435142392,351949.564857608,1
"64",5629,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"SE24","D",159.46,10,7.1,6.9,193,189,"Good","rental (private)",51.456329,-0.089697,86,33,2,"north dulwich","Thames Water",53800,"Lambeth","rail",0,1,0,0.1249014,1559000,1207722.93723466,351277.062765345,1
"65",7009,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SW17","F",58,4,5,1.4,461,137,"Average","rental (private)",51.426389,-0.155143,177,35,3,"tooting","Thames Water",59800,"Wandsworth","rail",0,1,0,0.537511,867000,516618.236066628,350381.763933372,1
"66",5862,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"SW13","D",180,4,5.5,3,174,93,"Good","owner-occupied",51.476501,-0.232515,12,6,3,"barnes","Thames Water",65600,"Richmond upon Thames","rail",0,1,0,0.9457708,1937000,1592759.17476205,344240.825237954,1
"67",12273,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"SE9","D",113,6,3.9,1.5,196,73,"Average","owner-occupied",51.453654,0.084191,73,53,4,"falconwood","Thames Water",52800,"Greenwich","rail",0,1,0,0.7668076,825000,481494.363543299,343505.636456701,1
"68",15154,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"E17","E",108.46,4,7,4.7,387,259,"Average","owner-occupied",51.58574,-0.014757,72,37,3,"walthamstow central","Thames Water",50500,"Waltham Forest","tube",1,0,1,0.3392844,938000,594514.264946648,343485.735053352,1
"69",9202,NA,NA,"S","N","F",NA,NA,NA,"CHINGFORD",NA,NA,"E4","D",143,7,6.2,3.3,226,116,"Average","owner-occupied",51.630414,0.009504,99,50,5,"chingford","Thames Water",55200,"Waltham Forest","light_rail",0,0,1,0.4150952,955000,612459.716592888,342540.283407112,1
"70",1247,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"SE21","D",82,4,3.4,1.3,276,116,"Poor","owner-occupied",51.45005,-0.086822,62,30,2,"north dulwich","Thames Water",76600,"Southwark","rail",0,1,0,0.4617002,1131000,789923.977759596,341076.022240404,1
"71",3052,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"KT5","E",224,8,13,4.4,323,111,"Good","owner-occupied",51.397102,-0.285568,119,31,5,"berrylands","Thames Water",64600,"Kingston upon Thames","rail",0,1,0,0.379054,1646000,1306592.81299804,339407.187001964,1
"72",7465,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"N3","F",198,9,16,16,453,313,"Very Poor","owner-occupied",51.597441,-0.20245,39,77,4,"finchley central","Affinity Water",58600,"Barnet","tube",1,0,0,0.6158074,1581000,1245532.46751647,335467.532483527,1
"73",15432,NA,NA,"T","N","F",NA,NA,NA,"FOREST GATE",NA,NA,"E7","D",147,7,4.9,2,192,79,"Good","owner-occupied",51.551043,0.035717,52,12,3,"woodgrange park","Thames Water",45400,"Newham","light_rail",0,0,1,1.0147462,988000,654242.756091377,333757.243908623,1
"74",13390,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"KT6","D",75,4,3.7,1.2,257,77,"Average","rental (private)",51.396234,-0.310008,112,12,6,"surbiton","Thames Water",59900,"Kingston upon Thames","rail",0,1,0,0.3535766,790000,457474.205141862,332525.794858138,1
"75",12289,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SW18","E",112.6,6,7.8,6.9,312,275,"Average","owner-occupied",51.446559,-0.188005,106,11,3,"earlsfield","Thames Water",71900,"Wandsworth","rail",0,1,0,0.391482,1242000,909819.506346616,332180.493653384,1
"76",1346,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SE18","C",51,3,2.1,2,108,101,"Good","rental (private)",51.495871,0.073265,85,6,4,"woolwich arsenal","Thames Water",52000,"Greenwich","light_rail",0,1,1,0.7077746,572000,241339.092993555,330660.907006445,1
"77",4757,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SE22","F",85,4,6.5,2.1,436,141,"Average","owner-occupied",51.45953,-0.074261,137,23,2,"east dulwich","Thames Water",67000,"Southwark","rail",0,1,0,0.4822064,1083000,753270.520580948,329729.479419052,1
"78",14337,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"W10","E",82,3,5.3,1.8,331,111,"Very Poor","owner-occupied",51.531433,-0.214596,103,38,2,"kensal rise","Thames Water",44500,"Kensington and Chelsea","light_rail",0,0,1,0.556153,1027000,703787.738312314,323212.261687686,1
"79",11761,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"TW8","D",136,3,7.4,2.8,320,116,"Average","owner-occupied",51.488439,-0.294862,92,11,3,"kew bridge","Thames Water",50200,"Hounslow","rail",0,1,0,0.4871776,1087000,766293.463484445,320706.536515555,1
"80",12131,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SW11","C",146,6,5.6,5.4,167,159,"Average","owner-occupied",51.458792,-0.167861,117,17,2,"clapham junction","Thames Water",74000,"Wandsworth","light_rail",0,1,1,0.5791448,1721000,1401999.15625512,319000.843744884,1
"81",5692,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"N4","C",135,5,4,2,166,81,"Average","owner-occupied",51.582036,-0.103554,112,35,3,"harringay","Thames Water",50000,"Hackney","rail",0,1,0,0.3827824,1062000,743439.266506597,318560.733493403,1
"82",2110,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"N8","C",154,7,5,2.8,182,100,"Good","owner-occupied",51.588809,-0.125882,83,38,3,"hornsey","Thames Water",63900,"Haringey","rail",0,1,0,0.7916636,1423000,1106640.73127602,316359.268723985,1
"83",4872,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW15","C",62,3,2.1,1.5,196,134,"Poor","owner-occupied",51.468713,-0.226015,107,11,2,"putney","Thames Water",71500,"Kingston upon Thames","rail",0,1,0,0.7966348,817000,502977.570836808,314022.429163192,1
"84",13166,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"HA8","F",192,7,15,5.2,439,154,"Poor","owner-occupied",51.627365,-0.294952,20,87,5,"stanmore","Affinity Water",56300,"Barnet","tube",1,0,0,0.9302358,1468000,1156091.37195701,311908.628042987,1
"85",5557,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW2","E",90.13,5,6,5.2,398,345,"Very Poor","owner-occupied",51.442271,-0.133092,32,40,3,"streatham hill","Thames Water",54400,"Lambeth","rail",0,1,0,0.3411486,811000,500866.977346162,310133.022653838,1
"86",14280,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"SE25","D",105,5,4.1,1.4,241,87,"Average","owner-occupied",51.40816,-0.083394,26,90,4,"norwood junction","Thames Water",51400,"Croydon","light_rail",0,1,1,1.14959,784000,475459.011690882,308540.988309118,1
"87",1443,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW4","C",92,4,2.7,2,167,121,"Good","owner-occupied",51.456558,-0.140872,46,27,2,"clapham south","Thames Water",71500,"Lambeth","tube",1,0,0,0.462943,1054000,751109.359298504,302890.640701496,1
"88",5353,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"N5","D",121,5,4.7,1.7,221,80,"Poor","owner-occupied",51.549674,-0.100763,82,40,2,"highbury and islington","Thames Water",65600,"Islington","tube",1,1,1,0.273416,1496000,1198562.32450203,297437.67549797,1
"89",15851,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"N13","D",102,6,4,1.6,222,89,"Average","owner-occupied",51.622398,-0.085518,123,23,4,"silver street","Thames Water",46200,"Enfield","light_rail",0,0,1,1.0837216,765000,474917.67621681,290082.32378319,1
"90",5691,NA,NA,"F","N","F",NA,NA,NA,NA,NA,NA,"SW1X","D",136,6,5.6,4,231,166,"Poor","owner-occupied",51.495424,-0.156795,4,14,1,"sloane square","Thames Water",72600,"Kensington and Chelsea","tube",2,0,0,0.1634282,3383000,3094660.32184783,288339.678152169,1
"91",10893,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"KT1","E",100,5,5.4,2.6,295,139,"Average","owner-occupied",51.410421,-0.277664,105,17,5,"norbiton","Thames Water",55300,"Kingston upon Thames","rail",0,1,0,0.4014244,799000,517565.481012267,281434.518987733,1
"92",7828,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"CR0","C",236,8,6.9,4.7,166,113,"Good","owner-occupied",51.369768,-0.089308,126,84,5,"south croydon","Thames Water",58200,"Croydon","rail",0,1,0,0.5822518,1289000,1008132.92470601,280867.075293992,1
